"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SF_SKU";"SPICEPREFIX";"TP_SIGNAL_NAME";
"1";"";"MA06-1";"MA06-1";"FTDI";"PIN HEADER";"";"";"";"";"";"unknown";"unknown";"";"28";"";"";"";"";"";
"1";"";"PINHD-1X6";"1X06";"SPI2";"PIN HEADER";"";"";"";"";"";"";"";"";"79";"";"";"";"";"";
"4";"";"SJ";"SJ";"JP1, JP2, JP3, JP6";"SMD solder JUMPER";"";"";"";"";"";"";"";"";"33";"";"";"";"";"";
"3";"0R-JUMPA";"0R-JUMPA";"A0R-JMP";"JP4, JP5A, JP5B";"SMD 0R 0805 Jumper";"";"";"";"";"";"";"";"";"3";"";"";"";"";"";
"2";"100";"R-US_R0603";"R0603";"R45, R77";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";
"1";"100nF";"C-EUC0603";"C0603";"C19";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"73";"";"";"";"C";"";
"1";"100nF";"CAP0805";"0805";"C27";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"22";"100nF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO";"C2, C3, C6, C8, C9, C12, C13, C14, C15, C18, C22, C23, C24, C25, C26, C28, C30, C31, C32, C33, C37, C38";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"100uF";"CPOL-EUE2.5-7";"E2,5-7";"C1, C10, C29";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"17";"";"";"";"C";"";
"1";"100uF/50v";"CPOL-EUE3.5-8";"E3,5-8";"C35";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100uH";"DR125";"DR125";"L1";"High Power Density, High Efficiency, Shielded Inductors";"";"";"";"";"";"";"";"";"1";"";"";"";"L";"";
"2";"104";"CAP0805";"0805";"C4, C5";"Capacitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"10K";"R-US_M1206";"M1206";"R31, R33, R43, R55";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"20";"10k";"R-US_R0603";"R0603";"R4, R11, R12, R16, R19, R21, R24, R39, R40, R46, R52, R54, R56, R70, R71, R72, R73, R75, R78, R80";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";
"1";"120";"R-US_R0603";"R0603";"R60";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";
"4";"1K";"R-US_R0805";"R0805";"R1, R14, R68, R69";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"85";"";"";"";"R";"";
"10";"1k";"R-US_R0603";"R0603";"R27, R29, R30, R32, R34, R35, R37, R41, R42, R57";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";
"1";"1k5";"R-US_R0603";"R0603";"R23";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"77";"";"";"";"R";"";
"1";"22-23-2021";"22-23-2021";"22-23-2021";"IO15";".100" (2.54mm) Center Header - 2 Pin";"";"";"MOLEX";"";"22-23-2021";"1462926";"25C3832";"";"40";"";"";"";"";"";
"1";"22-23-2031";"22-23-2031";"22-23-2031";"TEMP";".100" (2.54mm) Center Header - 3 Pin";"";"";"MOLEX";"";"22-23-2031";"1462950";"30C0862";"";"35";"";"";"";"";"";
"3";"22-23-2041";"22-23-2041";"22-23-2041";"I2C, RS232, UART2";".100" (2.54mm) Center Header - 4 Pin";"";"";"MOLEX";"";"22-23-2041";"1462920";"38C0355";"";"21";"";"";"";"";"";
