BAT-3V1, 19.56, 84.45, 180.00, 3v, CR2032-SMD
C12, 43.69, 72.52, 90.00, 100nF, 0805-NO
C13, 112.90, 71.63, 90.00, 100nF, 0805-NO
C14, 32.38, 88.52, 180.00, 100nF, 0805-NO
C15, 10.79, 58.55, 0.00, 100nF, 0805-NO
C18, 110.24, 92.96, 90.00, 100nF, 0805-NO
C19, 42.80, 68.83, 90.00, 100nF, C0603
C2, 10.67, 62.10, 270.00, 100nF, 0805-NO
C22, 16.13, 52.71, 270.00, 100nF, 0805-NO
C23, 16.13, 49.02, 90.00, 100nF, 0805-NO
C24, 116.08, 70.23, 180.00, 100nF, 0805-NO
C25, 45.34, 57.28, 180.00, 100nF, 0805-NO
C26, 42.80, 54.99, 0.00, 100nF, 0805-NO
C27, 56.13, 62.36, 0.00, 100nF, 0805
C28, 102.23, 59.31, 0.00, 100nF, 0805-NO
C3, 53.85, 35.56, 90.00, 100nF, 0805-NO
C30, 102.11, 61.47, 0.00, 100nF, 0805-NO
C31, 113.03, 53.98, 90.00, 100nF, 0805-NO
C32, 16.89, 55.63, 180.00, 100nF, 0805-NO
C33, 18.16, 52.71, 270.00, 100nF, 0805-NO
C37, 47.75, 36.83, 90.00, 100nF, 0805-NO
C38, 116.33, 52.96, 180.00, 100nF, 0805-NO
C4, 70.87, 15.88, 180.00, 104, 0805
C5, 81.53, 14.35, 180.00, 104, 0805
C6, 98.93, 92.84, 270.00, 100nF, 0805-NO
C8, 98.43, 89.03, 90.00, 100nF, 0805-NO
C9, 39.37, 78.74, 270.00, 100nF, 0805-NO
D1, 100.46, 3.43, 0.00, M7, SMB
D10, 82.04, 5.08, 180.00, M7, SMB
D11, 50.80, 38.86, 270.00, SS510, SMB
D12, 113.92, 91.19, 90.00, 3v3, SMB
D13, 54.86, 41.27, 270.00, M7, SMB
D2, 100.58, 16.13, 0.00, M7, SMB
D3, 100.58, 28.83, 0.00, M7, SMB
D4, 100.71, 41.02, 0.00, M7, SMB
D7, 95.38, 91.19, 90.00, 3v3, SMB
D8, 126.75, 57.15, 90.00, M7, SMB
D9, 72.01, 5.08, 180.00, M7, SMB
ESP, 80.52, 75.92, 90.00, ESP-WROOM-32, ESP-WROOM-32
F1, 14.35, 32.51, 270.00, 500mA, L1812
F3, 50.42, 87.00, 180.00, 500mA, L1812
IC1, 36.45, 54.99, 270.00, NCP1117 3v3 , SOT223
IC2, 58.55, 76.58, 270.00, LM358D, SO08
IC3, 29.08, 67.95, 0.00, DS3231/SO, SO16W
IC4, 104.65, 90.93, 270.00, LM358D, SO08
IC5, 40.74, 39.50, 270.00, LM2576 5V, TO263-5
IC6, 103.89, 53.59, 270.00, 74HC14D, SO14
IC7, 16.13, 64.01, 180.00, MAX485 SMD, SO08
IC8, 10.67, 52.32, 270.00, MAX3232 SMD, SO16
IC9, 101.85, 69.22, 270.00, 74HC541DW, SO20W
JP3, 113.54, 66.04, 270.00, , SJ
L1, 41.76, 26.67, 180.00, 100uH, DR125
L3V3, 42.93, 59.56, 90.00, LED1, CHIPLED_0805
OK1, 81.66, 48.39, 90.00, 817C, SMD4-7
OK2, 69.88, 39.78, 180.00, ILD207, SOIC08
OK3, 96.90, 11.68, 90.00, ILD207, SOIC08
OK4, 98.04, 36.07, 90.00, ILD207, SOIC08
OK5, 59.18, 81.79, 270.00, 817C, SMD4-7
OK6, 116.46, 75.69, 180.00, ILD207, SOIC08
OK7, 116.46, 58.29, 180.00, ILD207, SOIC08
Q1, 71.00, 28.97, 270.00, AP70T03GH-HF-3TR, TRANS_AP70T03GH-HF-3TR
Q2, 79.88, 29.08, 270.00, AP70T03GH-HF-3TR, TRANS_AP70T03GH-HF-3TR
R1, 69.85, 56.90, 270.00, 1K, R0805
R10, 75.06, 53.47, 90.00, 220, R0603
R11, 77.98, 56.13, 180.00, 10k, R0603
R12, 89.92, 31.88, 0.00, 10k, R0603
R13, 92.20, 34.04, 0.00, 220, R0603
R15, 77.57, 39.85, 0.00, 220, R0603
R16, 74.33, 39.91, 180.00, 10k, R0603
R17, 95.12, 40.26, 270.00, 510, R0603
R18, 92.20, 43.82, 90.00, no, R0603
R19, 109.98, 85.60, 90.00, 10k, R0603
R2, 104.90, 85.47, 90.00, 30K, R0603
R20, 92.84, 40.01, 270.00, 220, R0603
R21, 89.54, 36.20, 90.00, 10k, R0603
R22, 92.20, 36.70, 0.00, 220, R0603
R23, 56.52, 72.77, 0.00, 1k5, R0603
R24, 66.67, 50.04, 270.00, 10k, R0603
R25, 80.14, 53.47, 90.00, 220, R0603
R26, 94.87, 3.30, 270.00, 510, R0603
R27, 59.18, 72.52, 90.00, 1k, R0603
R28, 92.46, 6.86, 90.00, no, R0603
R29, 46.23, 83.31, 270.00, 1k, R0603
R3, 95.63, 28.45, 270.00, 510, R0603
R30, 63.88, 89.79, 0.00, 1k, R0603
