BOT, 73.79, 80.77, 270.00, CH01, TACTILE_SWITCH_SMD_6.0X3.5MM
EN-RST, 85.47, 80.39, 90.00, CH01, TACTILE_SWITCH_SMD_6.0X3.5MM
IO1, 70.23, 57.02, 90.00, CH02, TACTILE_SWITCH_SMD_6.0X3.5MM
JP1, 15.24, 67.95, 270.00, , SJ
JP2, 85.98, 73.79, 270.00, , SJ
JP4, 101.73, 77.22, 90.00, 0R-JUMPA, A0R-JMP
JP5A, 16.13, 54.86, 90.00, 0R-JUMPA, A0R-JMP
JP5B, 16.13, 50.42, 90.00, 0R-JUMPA, A0R-JMP
JP6, 54.23, 82.17, 90.00, , SJ
LBZ, 81.41, 44.58, 90.00, RED, CHIPLED_0805
LED-B, 82.30, 68.96, 270.00, LED4, CHIPLED_0805
LED-G, 82.30, 70.99, 270.00, LED3, CHIPLED_0805
LED-R, 82.30, 73.15, 270.00, LED2, CHIPLED_0805
LK1, 95.12, 5.08, 0.00, GREEN, CHIPLED_0805
LK2, 95.50, 17.65, 0.00, GREEN, CHIPLED_0805
LK3, 94.62, 31.12, 0.00, GREEN, CHIPLED_0805
LK4, 95.25, 42.67, 0.00, GREEN, CHIPLED_0805
LPWM1, 69.57, 36.29, 270.00, BLUE, CHIPLED_0805
LPWM2, 74.33, 36.23, 90.00, BLUE, CHIPLED_0805
R14, 78.36, 73.03, 180.00, 1K, R0805
R68, 78.36, 70.99, 180.00, 1K, R0805
R69, 78.36, 68.96, 180.00, 1K, R0805
RX, 65.79, 82.30, 0.00, RED, CHIPLED_0805
TX, 63.12, 82.30, 0.00, RED, CHIPLED_0805
USB, 47.07, 90.60, 0.00, USB-MINI-B%C, USB-MINI-B_2
